wid	txtid	inv_nr	cth_number	lnr	trans	text	text_tags	text_clean	subscr	matlect	num	sign	corr	deleted	added	ras	rasx	gap	note	link	mrp0sel	combined
0	KBo 68.99		523	lk. Kol. 1′			<del_in/>	[														{'lg': 'Hit'}
1	KBo 68.99		523	lk. Kol. 1′			"<space c=""5""/>"	*****														{'lg': 'Hit'}
2	KBo 68.99		523	lk. Kol. 1′			<del_fin/>	]														{'lg': 'Hit'}
3	KBo 68.99		523	lk. Kol. 1′			<del_in/>	[														{'lg': 'Hit'}
4	KBo 68.99		523	lk. Kol. 2′	7		<laes_in/><num/>7<laes_fin/>	⸢7⸣			<num/>7⸣										1	{'lg': 'Hit', 'mrp1': '7@sieben@@QUANcar@'}
5	KBo 68.99		523	lk. Kol. 2′			<d>NINDA</d>x<del_in/>	~NINDA~x[													DEL	{'lg': 'Hit'}
6	KBo 68.99		523	lk. Kol. 3′	2		<num/>2	2			<num/>2										1	{'lg': 'Hit', 'mrp1': '2@zwei@@QUANcar@'}
7	KBo 68.99		523	lk. Kol. 3′	PA		<aGr>PA</aGr>	#PA#													1a 1b 	{'lg': 'Hit', 'mrp1': 'PARĪSU@(Hohlmaß)@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@@', 'mrp2': 'PA=@Laub@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@(GIŠ)'}
8	KBo 68.99		523	lk. Kol. 3′		x	x<del_in/>	x[													DEL	{'lg': 'Hit'}
9	KBo 68.99		523	lk. Kol. 4′	1		<ras_in/><num/>1<ras_fin/>	1			<num/>1					<ras_in/><num/>1<ras_fin/>					1	{'lg': 'Hit', 'mrp1': '1@ein@@QUANcar@'}
10	KBo 68.99		523	lk. Kol. 4′	PA		<aGr>PA</aGr>	#PA#													1a 1b 	{'lg': 'Hit', 'mrp1': 'PARĪSU@(Hohlmaß)@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@@', 'mrp2': 'PA=@Laub@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@(GIŠ)'}
11	KBo 68.99		523	lk. Kol. 4′			<del_in/>	[														{'lg': 'Hit'}
12	KBo 68.99		523	lk. Kol. 5′	14		<num/>14	14			<num/>14										1	{'lg': 'Hit', 'mrp1': '14@14@@QUANcar@'}
13	KBo 68.99		523	lk. Kol. 5′		x	x<del_in/>	x[													DEL	{'lg': 'Hit'}
0	KBo 22.218		523	Vs. r. Kol. 1′			<del_in/>	[														{'lg': 'Hit'}
1	KBo 22.218		523	Vs. r. Kol. 1′			"<space c=""53""/>"	*****************************************************														{'lg': 'Hit'}
2	KBo 22.218		523	Vs. r. Kol. 1′			<del_fin/>x<del_in/>	]x[													DEL	{'lg': 'Hit'}
3	KBo 22.218		523	Vs. r. Kol. 2′			<del_in/>	[														{'lg': 'Hit'}
4	KBo 22.218		523	Vs. r. Kol. 2′			"<space c=""27""/>"	***************************														{'lg': 'Hit'}
5	KBo 22.218		523	Vs. r. Kol. 2′	UGULA		<sGr>UGULA</sGr>	UGULA													1sg 	{'lg': 'Hit', 'mrp1': 'UGULA=@Aufseher@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@(LÚ)'}
6	KBo 22.218		523	Vs. r. Kol. 2′	LI-IM		<aGr>L<del_fin/>I-<laes_in/>IM<laes_fin/></aGr>	#L]I-⸢IM⸣#													1	{'lg': 'Hit', 'mrp1': 'LĪM@tausend@QUANcar@@'}
7	KBo 22.218		523	Vs. r. Kol. 3′			<del_in/>	[														{'lg': 'Hit'}
8	KBo 22.218		523	Vs. r. Kol. 3′			"<space c=""20""/>"	********************														{'lg': 'Hit'}
9	KBo 22.218		523	Vs. r. Kol. 3′	ḫarzi	ḫar-z	ḫar-z<del_fin/>i	ḫar-z]i													1	{'lg': 'Hit', 'mrp1': 'ḫar(k)-@haben@3SG.PRS@I.1.11@'}
10	KBo 22.218		523	Vs. r. Kol. 3′	šummazana		<d>URU</d>šu-um-ma-za-<laes_in/>na<laes_fin/><del_in/>	~URU~šu-um-ma-za-⸢na⸣[													1all 	{'lg': 'Hit', 'mrp1': 'šummazan=a-@Šumma(n)zana@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG} { i → GN.STF} { j → GN.HURR.ABS.SG}@39.2@URU', 'mrp2': 'šummazan=a-@Šumma(n)zana@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.2 += ma@CNJctr@@URU'}
11	KBo 22.218		523	Vs. r. Kol. 3′			<del_fin/>	]														{'lg': 'Hit'}
12	KBo 22.218		523	Vs. r. Kol. 4′			<del_in/>	[														{'lg': 'Hit'}
13	KBo 22.218		523	Vs. r. Kol. 4′			"<space c=""24""/>"	************************														{'lg': 'Hit'}
14	KBo 22.218		523	Vs. r. Kol. 4′			<del_fin/>	]														{'lg': 'Hit'}
15	KBo 22.218		523	Vs. r. Kol. 4′	KAR-TAP-PU		<d><laes_in/>LÚ<laes_fin/></d><aGr>KAR-TAP-PU</aGr>	~⸢LÚ⸣~#KAR-TAP-PU#													1sg 	{'lg': 'Hit', 'mrp1': 'KARTAPPU@Zugtierführer@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@@LÚ(.MEŠ)'}
16	KBo 22.218		523	Vs. r. Kol. 5′			<del_in/>	[														{'lg': 'Hit'}
17	KBo 22.218		523	Vs. r. Kol. 5′			"<space c=""3""/>"	***														{'lg': 'Hit'}
18	KBo 22.218		523	Vs. r. Kol. 5′	NU.KIRI₆		<d>m</d><sGr>NU.</sGr><d>GIŠ</d><sGr>K<del_fin/>IRI₆</sGr>	~m~NU.~GIŠ~K]IRI₆													1sg 	{'lg': 'Hit', 'mrp1': 'NU.°GIŠ°KIRI₆=@NU.°GIŠ°KIRI₆@{ a → PNm.NOM.SG(UNM)} { b → PNm.ACC.SG(UNM)} { c → PNm.GEN.SG(UNM)} { d → PNm.D/L.SG(UNM)} { e → PNm.ABL(UNM)} { f → PNm.INS(UNM)} { g → PNm.VOC.SG(UNM)}@38.1@m'}
19	KBo 22.218		523	Vs. r. Kol. 5′	ḫarzi	ḫar-zi	ḫar-zi	ḫar-zi													1	{'lg': 'Hit', 'mrp1': 'ḫar(k)-@haben@3SG.PRS@I.1.11@'}
20	KBo 22.218		523	Vs. r. Kol. 5′	ankatala		"<d><laes_in/>URU<laes_fin/></d>an-ga-<laes_in/>ta<corr c=""?""/><laes_fin/>-la"	~⸢URU⸣~an-ga-⸢ta⸣-la					"⸢ta<corr c=""?""/>"								1all 	{'lg': 'Hit', 'mrp1': 'ankatal=a-@Ankatala@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG} { i → GN.STF} { j → GN.HURR.ABS.SG}@39.2@URU', 'mrp2': 'ankatal=a-@Ankatala@{ a → GN.NOM.SG(UNM)} { b → GN.ACC.SG(UNM)} { c → GN.GEN.SG(UNM)} { d → GN.D/L.SG(UNM)} { e → GN.ALL(UNM)} { f → GN.ABL(UNM)} { g → GN.INS(UNM)} { h → GN.VOC.SG(UNM)} { i → GN.HURR.ABS.SG}@39.2 += ma@CNJctr@@URU'}
21	KBo 22.218		523	Vs. r. Kol. 5′			"<space c=""4""/>"	****														{'lg': 'Hit'}
22	KBo 22.218		523	Vs. r. Kol. 6′			<del_in/>	[														{'lg': 'Hit'}
23	KBo 22.218		523	Vs. r. Kol. 6′			"<space c=""14""/>"	**************														{'lg': 'Hit'}
24	KBo 22.218		523	Vs. r. Kol. 6′	LÚ˽TUKUL.GÍD.DA		<sGr>LÚ</sGr>˽<d>G<del_fin/>IŠ</d><sGr>TUKUL.GÍD.DA</sGr>	LÚ˽~G]IŠ~TUKUL.GÍD.DA													1sg 	{'lg': 'Hit', 'mrp1': 'LÚ˽°GIŠ°TUKUL.GÍD.DA=@Langwaffenmann@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@29.1.1@'}
25	KBo 22.218		523	Vs. r. Kol. 7′			<del_in/>	[														{'lg': 'Hit'}
26	KBo 22.218		523	Vs. r. Kol. 7′			"<space c=""6""/>"	******														{'lg': 'Hit'}
27	KBo 22.218		523	Vs. r. Kol. 7′	NU.KIRI₆		<d>m</d><sGr>NU.</sGr><d>G<del_fin/>IŠ</d><sGr>KIRI₆</sGr>	~m~NU.~G]IŠ~KIRI₆													1sg 	{'lg': 'Hit', 'mrp1': 'NU.°GIŠ°KIRI₆=@NU.°GIŠ°KIRI₆@{ a → PNm.NOM.SG(UNM)} { b → PNm.ACC.SG(UNM)} { c → PNm.GEN.SG(UNM)} { d → PNm.D/L.SG(UNM)} { e → PNm.ABL(UNM)} { f → PNm.INS(UNM)} { g → PNm.VOC.SG(UNM)}@38.1@m'}
28	KBo 22.218		523	Vs. r. Kol. 7′	ḫarzi	ḫar-zi	ḫar-zi	ḫar-zi													1	{'lg': 'Hit', 'mrp1': 'ḫar(k)-@haben@3SG.PRS@I.1.11@'}
